Proof,Uncompressed.length,Uncompressed.coreSize,Uncompressed.height,Uncompressed.space,Uncompressed.time,Uncompressed.transLength,PCNewNew.length,PCNewNew.coreSize,PCNewNew.height,PCNewNew.space,PCNewNew.time,PCNewNew.transLength,FCNewNew.length,FCNewNew.coreSize,FCNewNew.height,FCNewNew.space,FCNewNew.time,FCNewNew.transLength,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl012,58115,2308,2498,1894,10326,61167,55209,3003,2452,1910,158490,57439,55104,2969,2452,1907,226472,57308,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl076,2761,599,277,311,1180,3337,2804,734,283,285,4002,3236,2780,723,283,282,4708,3204,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/dead_dnd003,328712,5139,7906,3815,103295,342718,320956,7594,7910,4252,1541089,333364,320565,7498,7909,4228,2109161,332741,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl055,3322,628,372,293,1152,3966,3337,770,376,278,5384,3761,3304,752,376,278,6660,3724,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl050,7486,1131,1150,640,1606,8114,6791,1195,1154,617,16281,7261,6543,1170,1138,659,20219,6999,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_brn064,228077,3240,4899,3144,74746,230251,220270,3705,4900,3800,814375,221930,220193,3670,4900,3800,1045550,221829,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl010,3744,784,448,407,1140,4122,3728,852,451,392,9438,4052,3724,850,451,392,12544,4048,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl075,72056,2618,2233,1715,12231,74336,70672,3110,2239,1846,150044,72184,70627,3091,2239,1846,200394,72113,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl102,5444,1166,877,553,2070,6120,5517,1335,883,542,8040,5953,5452,1308,883,542,9391,5880,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl025,259491,3551,4809,3061,127511,263189,247170,4390,4709,3709,1204257,250234,246955,4374,4694,3709,1516869,249971,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl079,191210,2952,3956,2588,35017,197684,186965,4311,3958,2957,613824,192701,186583,4326,3957,2954,805738,192195,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl058,203966,3371,3056,2996,147401,205762,194561,3772,3056,3600,807800,195847,194542,3766,3056,3601,994067,195818,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_brn098,2424,585,306,220,732,2576,2422,610,312,213,591,2564,2418,608,311,213,621,2552,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl041,8086,1245,878,752,1349,10258,8239,1689,884,708,15166,9789,8126,1641,882,709,19890,9658,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl048,1912,402,281,195,566,2226,1937,486,287,183,928,2121,1905,473,287,183,1071,2079,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl084,121576,3250,3124,2561,54864,123808,117801,3702,3064,2853,491226,119469,117738,3695,3064,2853,633835,119376,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl001,37128,1692,1116,1276,4560,42098,36094,2345,1122,1292,66739,39872,36071,2364,1118,1291,89346,39827,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl054,4743,1005,661,390,2091,5665,4811,1224,666,377,9493,5459,4690,1194,662,374,11832,5336,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_brn095,326185,5734,7014,4423,149567,337569,318199,7783,7010,5073,1606319,328271,317991,7781,6999,5076,2112699,327897,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_brn096,2453,674,409,282,975,2617,2443,693,415,274,5144,2599,2439,691,415,274,6415,2595,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl064,7663,1197,857,682,3345,8171,7474,1263,818,651,23645,7950,7476,1267,818,651,28961,7956,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl055,344746,5308,5884,4386,166352,354266,332542,7009,5817,5175,1819559,341014,331856,6973,5817,5171,2351441,340192,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl065,3266,656,605,311,1055,3782,3262,744,610,301,3301,3708,3247,736,610,301,3900,3693,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl088,288852,3730,6139,3018,169047,294576,274938,4912,6130,3701,1470960,280134,274492,4913,6128,3703,1804306,279522,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_brn084,415660,4129,6373,3985,233814,420578,401232,5134,6370,5144,1958875,405562,401188,5123,6370,5142,2476050,405492,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl005,2661,524,279,275,911,3277,2656,574,285,277,3209,3160,2646,571,285,277,3799,3140,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl039,53482,2058,2322,1712,20779,55196,52294,2437,2328,1772,164820,53526,52142,2427,2319,1771,216122,53358,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl003,1671,292,199,155,390,2315,1645,390,205,148,657,2025,1579,368,205,146,751,1937,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl012,4340,774,436,410,839,5148,4375,968,440,386,3640,4897,4293,933,440,386,4822,4795,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl046,6381,997,756,444,1498,7717,6525,1281,762,428,10824,7603,6467,1252,762,429,13383,7525,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl085,5186,947,705,568,1526,5534,5129,1000,711,556,9724,5471,5137,1004,711,556,12130,5465,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl014,3801,568,582,408,921,4521,3827,741,588,390,3445,4313,3783,721,588,389,4268,4267,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl101,2987,573,569,360,613,3267,2991,627,575,349,5844,3249,2989,626,575,349,7530,3243,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl063,327112,4114,3918,3647,196802,333268,315014,5467,3925,4435,1710379,320498,314664,5448,3923,4433,2196433,320082,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl030,3814,641,607,382,629,4696,3901,821,612,365,5945,4631,3869,809,612,365,7378,4589,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl086,11331,1690,1056,955,6602,12437,11202,1862,1050,916,58621,12166,10969,1861,1020,906,68435,11889,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl046,196542,3232,4440,2769,40232,202546,185748,4526,4360,3225,799591,191128,185121,4525,4367,3223,1049475,190413,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_brn077,3120,611,446,302,1318,3584,3145,725,452,291,2361,3429,3101,708,452,291,2716,3385,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl045,5240,851,476,449,968,6098,4798,915,471,410,10959,5558,4764,920,463,409,14589,5488,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl019,60123,1972,2370,1586,9333,64441,58509,2992,2357,1660,260880,62019,58448,2961,2357,1660,394498,61934,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl007,5190,649,676,430,836,6344,5248,773,682,420,6298,6358,5227,766,682,420,7868,6325,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl073,92238,2472,2697,1882,17305,95144,90329,3008,2693,2044,199285,92577,90300,3005,2693,2044,267111,92524,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl015,3474,674,394,357,797,4326,3494,875,400,345,13167,4032,3395,828,400,343,18590,3915,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl108,4115,1064,943,415,1524,4397,4132,1128,949,403,5164,4374,4121,1123,949,403,6259,4359,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl059,133230,2737,2655,2294,72130,135646,127340,3188,2597,2675,539559,129188,127204,3196,2591,2674,669546,129010,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl026,13540,1756,1100,1199,3765,14246,13393,1856,1105,1189,34970,14011,13405,1862,1105,1189,44073,14017,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl083,98033,2979,2342,2264,33079,100691,93969,3642,2347,2428,344753,95943,93939,3631,2348,2428,466531,95909,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/dead_dnd006,241,57,38,22,134,293,216,62,44,26,136,228,216,62,44,26,136,228,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl045,43800,1860,1604,1450,5541,47314,42152,2483,1578,1530,143156,45046,42132,2479,1577,1530,187758,45012,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/dead_dnd004,356019,3557,6540,3428,118268,361669,343008,4944,6518,4187,1791613,348058,343167,4915,6518,4187,2374617,348183,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_brn089,209101,3605,4682,3110,54700,212477,202831,4315,4673,3525,926686,205715,202791,4290,4673,3528,1215363,205643,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl074,6295,1285,842,590,3090,7487,6239,1524,846,567,18229,7025,6176,1498,847,568,23585,6966,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl044,3294,528,477,321,607,3930,3370,660,483,306,1922,3876,3323,640,483,307,2449,3827,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl109,5166,1042,568,621,1656,5860,5153,1215,572,586,7928,5631,4951,1182,529,575,8748,5411,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_brn081,195314,2738,3866,2379,37702,198590,189016,3502,3861,2871,607409,191702,188909,3496,3861,2870,818991,191529,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl007,12577,1081,673,730,1585,14449,12253,1347,677,718,15226,13383,12228,1336,677,716,20337,13330,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl004,2080,386,316,252,468,2958,2054,506,317,240,2249,2610,1999,497,314,239,2798,2511,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl101,89524,2953,2730,2224,15759,92746,86544,3740,2719,2352,248890,89068,86256,3722,2719,2354,340978,88728,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl020,8907,1047,1018,698,3685,9803,8884,1175,1024,678,22048,9714,8855,1177,1012,676,25846,9645,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl060,26259,1634,1598,1262,11036,27323,25527,1780,1592,1267,93820,26561,25493,1792,1587,1267,117624,26475,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl054,171073,3540,3759,2958,75215,173977,166367,4314,3748,3367,764454,168631,166384,4304,3748,3366,985633,168656,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl052,373750,4330,5681,3776,104817,384508,359359,6344,5587,4849,1446906,369037,359289,6343,5586,4846,1970847,368881,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl056,2834,538,333,294,840,3310,2830,643,339,285,4390,3136,2768,622,330,278,5549,3052,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl103,185793,3410,3400,3187,169353,188659,180434,3977,3384,3585,830181,182488,179022,3968,3384,3588,975931,180932,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl073,4100,679,766,467,1602,4782,4154,832,772,453,13489,4658,4131,821,773,454,16914,4639,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl089,161046,2708,4127,2513,72276,163456,152760,3153,4087,2920,678940,154520,152671,3135,4087,2918,861717,154401,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl080,4181,716,524,433,1535,4871,4171,898,530,411,7540,4575,4111,871,530,412,9169,4515,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl077,248582,3489,3545,3282,51049,253022,239365,4584,3510,3967,756114,243311,239017,4583,3510,3969,1032279,242841,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl011,22380,1692,1442,1321,7968,23292,21541,1894,1445,1335,39960,22035,21499,1873,1445,1335,49012,21993,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl070,8142,1575,1104,564,3628,9696,8239,1930,1110,543,18942,9439,8127,1880,1109,543,23910,9317,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl087,4261,861,488,483,2309,4515,4253,890,494,477,8058,4493,4250,889,494,477,9249,4486,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl061,42488,2199,2171,1698,18971,44218,40446,2373,2155,1729,174885,42158,40292,2394,2131,1728,225070,41898,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl017,1031,198,154,128,326,1267,1048,273,159,113,849,1182,1007,253,159,111,1031,1129,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_brn079,2859,571,420,316,865,3171,2874,626,426,309,2690,3154,2878,628,426,309,3262,3162,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl036,2276,453,326,266,638,2790,2283,555,330,257,1622,2623,2226,547,325,251,1902,2542,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl107,5270,995,775,581,1651,5808,5321,1115,781,555,6912,5775,5311,1110,781,555,8842,5765,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_brn073,180554,5233,3607,3619,49545,196426,180124,8034,3609,3732,741723,194362,180131,8039,3599,3728,961431,194291,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl097,9163,1439,1460,902,2825,10053,9035,1535,1466,880,34759,9873,8880,1536,1425,865,43209,9704,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl014,69090,2208,2591,1793,13966,72466,66609,2960,2579,1882,197044,68975,66564,2918,2587,1884,268239,68900,
