original, proofTree, origSize, pTsize 
20,15, 27, 9
19,17, 22, 7
19,17, 18, 5
19,17, 15, 5
19,17, 12, 5
17,17, 7, 5
16,16, 1, 1
13,12, 50, 25
14,12, 43, 25
15,13, 40, 23
15,13, 38, 21
16,14, 36, 19
17,15, 34, 17
18,16, 31, 15
15,13, 25, 13
14,12, 23, 11
11,9, 17, 9
9,8, 11, 7
9,9, 9, 7
9,9, 5, 5
7,7, 1, 1
3,3, 3, 3
3,3, 1, 1
5,5, 5, 5
3,3, 3, 3
2,2, 1, 1
17,15, 58, 41
18,16, 55, 37
19,17, 53, 35
20,18, 51, 33
21,19, 50, 31
21,19, 48, 29
21,19, 45, 27
22,20, 42, 23
22,20, 39, 21
23,20, 36, 21
23,22, 31, 17
22,21, 29, 15
21,19, 23, 13
21,21, 18, 13
21,21, 14, 11
18,18, 9, 7
18,18, 5, 5
10,10, 1, 1
9,9, 3, 3
9,9, 1, 1
4,4, 5, 5
3,3, 3, 3
2,2, 1, 1
22,18, 70, 27
23,19, 69, 25
23,18, 68, 27
24,19, 64, 25
23,19, 59, 25
24,19, 55, 25
24,19, 52, 23
25,20, 49, 21
26,21, 45, 19
27,22, 42, 17
26,21, 36, 13
26,24, 30, 13
20,20, 24, 11
20,20, 20, 11
17,17, 14, 7
16,16, 9, 7
13,13, 3, 3
13,13, 1, 1
2,2, 5, 3
1,1, 3, 1
2,1, 1, 1
2,2, 1, 1
4,4, 5, 3
5,4, 3, 3
2,1, 1, 1
1,1, 3, 1
2,1, 1, 1
9,9, 5, 5
5,5, 3, 3
2,2, 1, 1
5,5, 1, 1
6,6, 5, 3
1,1, 3, 1
2,1, 1, 1
6,6, 1, 1
2,2, 5, 3
1,1, 3, 1
2,1, 1, 1
2,2, 1, 1
1,1, 3, 1
2,1, 1, 1
1,1, 3, 1
2,1, 1, 1
3,3, 5, 3
4,3, 3, 3
2,1, 1, 1
3,3, 1, 1
1,1, 3, 1
2,1, 1, 1
19,17, 85, 33
20,17, 83, 33
21,17, 76, 33
22,17, 75, 33
23,18, 74, 33
23,17, 73, 25
24,17, 70, 25
25,17, 67, 25
25,17, 64, 25
24,17, 60, 33
25,19, 57, 25
25,20, 53, 21
25,21, 48, 21
24,20, 43, 17
25,21, 39, 15
26,21, 34, 15
22,20, 29, 15
19,17, 23, 11
17,15, 19, 9
15,13, 13, 5
13,12, 7, 3
13,13, 5, 3
13,13, 1, 1
3,3, 5, 3
1,1, 3, 1
2,1, 1, 1
4,4, 3, 3
2,2, 1, 1
3,3, 1, 1
4,4, 5, 3
1,1, 3, 1
2,1, 1, 1
4,4, 1, 1
5,5, 5, 3
1,1, 3, 1
2,1, 1, 1
5,5, 1, 1
1,1, 3, 1
2,1, 1, 1
3,3, 5, 3
1,1, 3, 1
2,1, 1, 1
7,7, 28, 9
8,8, 27, 7
9,8, 22, 7
9,7, 21, 5
10,7, 17, 3
10,8, 13, 5
8,8, 7, 9
7,7, 1, 1
4,4, 5, 3
1,1, 3, 1
2,1, 1, 1
4,4, 1, 1
4,4, 3, 3
2,2, 1, 1
3,3, 1, 1
2,2, 5, 3
1,1, 3, 1
2,1, 1, 1
2,2, 1, 1
4,4, 7, 5
3,3, 1, 1
2,2, 5, 3
1,1, 3, 1
2,1, 1, 1
2,2, 1, 1
16,13, 49, 19
16,13, 45, 17
17,13, 42, 17
17,13, 39, 13
17,13, 35, 11
18,13, 32, 11
18,13, 27, 11
17,15, 22, 9
17,15, 19, 7
17,15, 16, 5
18,16, 12, 3
18,18, 7, 5
17,17, 1, 1
3,3, 5, 3
1,1, 3, 1
2,1, 1, 1
3,3, 1, 1
21,20, 50, 27
22,21, 47, 25
23,21, 44, 25
24,23, 40, 21
24,23, 37, 19
24,23, 34, 17
25,24, 30, 15
22,21, 25, 15
19,18, 19, 11
16,16, 15, 11
16,16, 11, 9
12,12, 7, 5
11,11, 1, 1
1,1, 3, 1
2,1, 1, 1
5,5, 3, 3
2,2, 1, 1
4,4, 5, 3
1,1, 3, 1
2,1, 1, 1
4,4, 1, 1
1,1, 3, 1
2,1, 1, 1
1,1, 3, 1
2,1, 1, 1
6,6, 7, 5
5,5, 1, 1
2,2, 5, 3
1,1, 3, 1
2,1, 1, 1
2,2, 1, 1
8,8, 17, 7
8,8, 13, 5
9,8, 10, 5
10,8, 7, 5
9,9, 1, 1
2,2, 5, 3
1,1, 3, 1
2,1, 1, 1
2,2, 1, 1
13,11, 36, 17
13,11, 32, 15
13,11, 29, 11
13,11, 25, 9
14,11, 22, 9
14,11, 17, 9
13,13, 12, 7
13,13, 8, 5
13,13, 5, 3
13,13, 1, 1
1,1, 3, 1
2,1, 1, 1
4,4, 5, 3
5,4, 3, 3
2,1, 1, 1
16,14, 39, 23
16,14, 36, 21
16,14, 33, 17
16,14, 29, 15
17,14, 26, 15
17,16, 21, 11
16,16, 16, 9
16,16, 12, 7
16,16, 8, 5
16,16, 5, 3
17,17, 1, 1
1,1, 3, 1
2,1, 1, 1
4,4, 5, 5
4,4, 3, 3
4,4, 1, 1
1,1, 1, 1
3,3, 3, 3
3,3, 1, 1
1,1, 1, 1
18,16, 54, 43
19,17, 51, 39
19,17, 49, 37
19,17, 46, 35
19,17, 42, 33
20,18, 39, 25
20,18, 36, 21
17,15, 30, 17
18,15, 27, 17
18,17, 22, 13
17,17, 17, 11
17,17, 13, 9
17,17, 10, 7
18,18, 7, 5
18,18, 5, 3
18,18, 1, 1
1,1, 3, 1
2,1, 1, 1
18,17, 51, 27
19,17, 47, 27
19,17, 44, 25
19,18, 39, 25
18,17, 34, 21
19,18, 31, 17
19,18, 27, 15
20,18, 24, 15
20,20, 19, 11
18,18, 14, 7
18,18, 11, 7
16,16, 5, 3
16,16, 1, 1
3,3, 5, 3
1,1, 3, 1
2,1, 1, 1
4,4, 5, 3
5,4, 3, 3
2,1, 1, 1
4,4, 5, 3
1,1, 3, 1
2,1, 1, 1
17,15, 47, 29
18,16, 44, 25
18,16, 40, 23
19,16, 39, 21
19,16, 37, 19
19,16, 34, 17
19,16, 31, 15
19,16, 27, 13
20,16, 24, 13
18,16, 19, 9
18,18, 14, 9
18,18, 10, 7
15,15, 5, 3
15,15, 1, 1
4,4, 5, 3
5,4, 3, 3
2,1, 1, 1
1,1, 3, 1
2,1, 1, 1
1,1, 3, 1
2,1, 1, 1
1,1, 3, 1
2,1, 1, 1
19,17, 49, 29
20,17, 48, 25
21,18, 45, 23
21,19, 40, 21
21,19, 37, 19
21,19, 34, 17
21,19, 30, 15
18,16, 25, 15
17,15, 19, 11
12,10, 13, 5
10,9, 7, 3
10,10, 5, 3
10,10, 1, 1
7,7, 5, 5
5,5, 3, 3
2,2, 1, 1
2,2, 5, 3
1,1, 3, 1
2,1, 1, 1
2,2, 1, 1
3,3, 5, 3
1,1, 3, 1
2,1, 1, 1
3,3, 1, 1
1,1, 3, 1
2,1, 1, 1
4,4, 5, 5
4,4, 3, 3
4,4, 1, 1
1,1, 1, 1
3,3, 3, 3
3,3, 1, 1
1,1, 1, 1
8,8, 17, 17
9,9, 15, 15
10,10, 13, 13
9,9, 11, 11
